Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
0.0.0.0,255.255.255.255,17,68,67,1369,9.522797
10.11.71.3,13.89.179.11,6,29780,443,6198,12.576822
10.11.71.76,239.255.255.250,17,2200,2200,1203,14.746330
10.11.71.3,202.114.0.131,17,64398,53,10869,11.999858
13.89.179.11,10.11.71.3,6,443,29780,635,12.197603
202.114.0.131,10.11.71.3,17,53,64398,16037,12.096880
10.11.71.3,43.198.104.118,6,55230,8443,110,15.149414
43.198.104.118,10.11.71.3,6,8443,55230,132,15.260328
10.11.71.249,224.0.0.251,17,48267,5353,162,10.034723
10.11.71.77,224.0.0.22,2,0,0,270,0.411129
10.11.69.242,239.255.255.250,17,60389,1900,212,0.000000
10.11.71.164,239.255.255.250,17,51559,1900,848,3.072177
10.11.71.164,239.255.255.250,17,51562,1900,848,3.072488
10.11.68.231,224.0.0.251,17,5353,5353,528,1.944034
10.11.68.231,224.0.0.252,17,58922,5355,164,0.409389
10.11.71.3,202.114.0.131,17,64397,53,70,0.000000
10.11.71.3,202.114.0.131,17,60757,53,70,0.000000
202.114.0.131,10.11.71.3,17,53,60757,135,0.000000
202.114.0.131,10.11.71.3,17,53,64397,86,0.000000
10.11.71.3,20.205.243.166,6,55236,443,2138,1.384477
20.205.243.166,10.11.71.3,6,443,55236,5360,1.193569
10.11.71.119,10.11.71.255,17,5684,5684,3672,4.200359
10.11.71.254,255.255.255.255,17,67,68,342,0.000000
10.11.71.93,239.255.255.250,17,61793,1900,424,1.023687
10.11.71.119,239.255.255.250,17,12189,1900,642,0.000384
10.11.71.77,239.255.255.250,17,58455,1900,212,0.000000
10.11.69.242,239.255.255.250,17,64271,1900,212,0.000000
10.11.71.38,239.255.255.250,17,49665,1900,212,0.000000
10.11.71.143,10.11.71.255,17,46750,5684,622,0.000000
10.11.71.3,202.114.0.131,17,62311,53,171,0.000000
10.11.71.76,224.0.0.251,17,5353,5353,284,0.409700
202.114.0.131,10.11.71.3,17,53,62311,236,0.000000
10.11.71.143,10.11.71.255,17,53681,5684,622,0.000000
